task,feature_set,scope,feature_count,cv,target_folds,eligible_rows,oof_rows,label_coverage,positive_rate,roc_auc,pr_auc,precision_at_0_5,recall_at_0_5,tn,fp,fn,tp,uses_gt_at_decision,posthoc_diagnostic_only
B_replace_local,weighted_S3,receiver_A,4,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.5582948753267244,0.08037462369913523,0.05850610621982391,0.4355179704016913,4674,3315,267,206,False,True
B_replace_local,weighted_S3,receiver_B,4,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.5161905314383952,0.07615645925128303,0.06973947895791584,0.2454160789844852,6286,2321,535,174,False,True
B_replace_local,weighted_S3,receiver_C,4,leave_one_target_out,5,9218,9218,1.0,0.08440008678672163,0.5726748011062512,0.12032019194292615,0.10550742574257425,0.4383033419023136,5549,2891,437,341,False,True
A_helpful_vs_harmful,weighted_S4,overall,7,leave_one_target_out,5,4394,4394,0.16276485405245222,0.44606281292671823,0.3809166065768953,0.3980799806278683,0.32582394659991654,0.39846938775510204,818,1616,1179,781,False,True
A_helpful_vs_harmful,weighted_S4,receiver_A,7,leave_one_target_out,5,1470,1470,0.1737177972110612,0.3217687074829932,0.26554504952489605,0.23307201029420496,0.16728971962616823,0.3784355179704017,106,891,294,179,False,True
A_helpful_vs_harmful,weighted_S4,receiver_B,7,leave_one_target_out,5,1272,1272,0.1365392872477458,0.5573899371069182,0.5798199750981419,0.6471331233456484,0.6868250539956804,0.44851904090267986,418,145,391,318,False,True
A_helpful_vs_harmful,weighted_S4,receiver_C,7,leave_one_target_out,5,1652,1652,0.1792145801692341,0.47094430992736075,0.38501438294518014,0.4963370114351527,0.3287037037037037,0.36503856041131105,294,580,494,284,False,True
B_replace_local,weighted_S4,overall,7,leave_one_target_out,5,26996,26996,1.0,0.07260334864424359,0.5155786687578051,0.07948015198717873,0.07535927094286715,0.32908163265306123,17122,7914,1315,645,False,True
B_replace_local,weighted_S4,receiver_A,7,leave_one_target_out,5,8462,8462,1.0,0.055896951075395884,0.547744427657797,0.08249520531628844,0.058202653799758745,0.4080338266384778,4866,3123,280,193,False,True
B_replace_local,weighted_S4,receiver_B,7,leave_one_target_out,5,9316,9316,1.0,0.07610562473164448,0.5050384580530526,0.0720701545839607,0.06865530303030302,0.20451339915373765,6640,1967,564,145,False,True
