group_type,group,variant,sequence_count,auc,precision,normalized_precision,mean_iou,auc_delta_vs_local,gt_oracle,remote_help_available_ratio
target_id,md3048,oracle_4,3,0.5718478586403114,0.6056603773584905,0.6245283018867924,0.6038570425088853,0.019616651692123455,True,
target_id,md3048,oracle_single,3,0.5710092842168314,0.6050314465408805,0.6251572327044025,0.6031269550422981,0.018778077268643445,True,
target_id,md3048,sender0_only,3,0.5551362683438155,0.5918238993710693,0.6075471698113207,0.5853132567208373,0.0029050613956275173,False,
target_id,md3048,sender1_only,3,0.5595986822401916,0.5930817610062893,0.610062893081761,0.5903029976445845,0.007367475292003656,False,
target_id,md3055,both,3,0.673144610159278,0.8395168248490078,0.8202473396606269,0.6903797358313993,0.0016845392168947093,False,
target_id,md3055,local,3,0.6714600709423832,0.8375035950532067,0.8156456715559389,0.6880821904864347,0.0,False,
target_id,md3055,oof_selector,3,0.6725009244422532,0.8383664078228358,0.8167960885821111,0.6892001453974741,0.0010408534998699315,False,
target_id,md3055,oracle_4,3,0.6838133585329444,0.8421052631578947,0.824849007765315,0.7017652042023207,0.012353287590561202,True,
target_id,md3055,oracle_single,3,0.6833066272237972,0.8421052631578947,0.824849007765315,0.701225932798371,0.011846556281413956,True,
target_id,md3055,sender0_only,3,0.6728296150211595,0.8406672418751797,0.821972965199885,0.6900735383149098,0.001369544078776208,False,
target_id,md3055,sender1_only,3,0.6716107207910488,0.8380788035662928,0.816508484325568,0.6888720366343906,0.00015064984866552944,False,
