epoch,loader,view,view_count,group_samples,distinct_view_frame_ratio,delta_t_mean,delta_t_median,delta_t_p90,unique_pair_count,unique_pair_ratio,causal_violations,visibility_violations
33,train,A,6000,6000,1.0,82.56833333333333,75.0,172.0,5860,0.9766666666666667,0,0
33,train,B,6000,6000,1.0,78.308,69.0,169.0,5585,0.9308333333333333,0,0
33,train,C,6000,6000,1.0,80.79633333333334,73.0,168.0,5720,0.9533333333333334,0,0
33,val,A,1496,1496,1.0,87.83689839572193,82.0,173.0,1489,0.9953208556149733,0,0
33,val,B,1496,1496,1.0,89.8629679144385,85.0,174.0,1488,0.9946524064171123,0,0
33,val,C,1496,1496,1.0,91.0855614973262,86.5,176.0,1491,0.9966577540106952,0,0
34,train,A,6000,6000,1.0,82.85016666666667,75.0,172.0,5852,0.9753333333333334,0,0
34,train,B,6000,6000,1.0,76.542,67.0,167.0,5590,0.9316666666666666,0,0
34,train,C,6000,6000,1.0,80.391,72.0,169.0,5712,0.952,0,0
34,val,A,1496,1496,1.0,86.34358288770053,80.0,173.0,1489,0.9953208556149733,0,0
34,val,B,1496,1496,1.0,89.26403743315508,86.0,174.0,1488,0.9946524064171123,0,0
34,val,C,1496,1496,1.0,89.53208556149733,83.0,174.0,1489,0.9953208556149733,0,0
35,train,A,6000,6000,1.0,81.89233333333334,73.0,170.0,5852,0.9753333333333334,0,0
35,train,B,6000,6000,1.0,78.25983333333333,69.0,169.0,5612,0.9353333333333333,0,0
35,train,C,6000,6000,1.0,79.20866666666667,69.0,169.0,5730,0.955,0,0
35,val,A,1496,1496,1.0,87.20187165775401,79.0,173.0,1494,0.9986631016042781,0,0
35,val,B,1496,1496,1.0,89.32620320855615,84.0,174.0,1490,0.9959893048128342,0,0
35,val,C,1496,1496,1.0,88.79144385026738,84.0,174.0,1485,0.9926470588235294,0,0
36,train,A,6000,6000,1.0,83.12016666666666,75.0,170.0,5850,0.975,0,0
36,train,B,6000,6000,1.0,77.19566666666667,67.0,168.0,5610,0.935,0,0
36,train,C,6000,6000,1.0,77.641,68.0,167.0,5697,0.9495,0,0
36,val,A,1496,1496,1.0,89.53342245989305,86.0,173.0,1487,0.9939839572192514,0,0
36,val,B,1496,1496,1.0,90.04344919786097,85.0,174.0,1488,0.9946524064171123,0,0
36,val,C,1496,1496,1.0,88.01671122994652,81.0,175.0,1487,0.9939839572192514,0,0
37,train,A,6000,6000,1.0,81.25633333333333,73.0,170.0,5819,0.9698333333333333,0,0
37,train,B,6000,6000,1.0,76.918,68.0,169.0,5634,0.939,0,0
37,train,C,6000,6000,1.0,80.23433333333334,72.0,171.0,5724,0.954,0,0
37,val,A,1496,1496,1.0,83.76804812834224,76.0,173.0,1487,0.9939839572192514,0,0
37,val,B,1496,1496,1.0,89.49064171122994,85.0,175.0,1488,0.9946524064171123,0,0
37,val,C,1496,1496,1.0,88.55815508021391,85.0,176.0,1485,0.9926470588235294,0,0
38,train,A,6000,6000,1.0,83.17816666666667,76.0,171.0,5852,0.9753333333333334,0,0
38,train,B,6000,6000,1.0,78.43783333333333,69.0,169.0,5643,0.9405,0,0
38,train,C,6000,6000,1.0,78.82083333333334,70.0,168.0,5723,0.9538333333333333,0,0
38,val,A,1496,1496,1.0,86.0033422459893,81.0,173.0,1494,0.9986631016042781,0,0
38,val,B,1496,1496,1.0,89.50802139037434,86.0,175.0,1490,0.9959893048128342,0,0
38,val,C,1496,1496,1.0,87.31617647058823,81.0,175.0,1487,0.9939839572192514,0,0
39,train,A,6000,6000,1.0,82.6075,75.0,170.0,5853,0.9755,0,0
39,train,B,6000,6000,1.0,78.56966666666666,69.0,169.0,5611,0.9351666666666667,0,0
39,train,C,6000,6000,1.0,80.16116666666667,71.0,170.0,5740,0.9566666666666667,0,0
39,val,A,1496,1496,1.0,84.98997326203208,76.0,175.0,1488,0.9946524064171123,0,0
39,val,B,1496,1496,1.0,89.25200534759358,84.0,176.0,1489,0.9953208556149733,0,0
39,val,C,1496,1496,1.0,89.98596256684492,86.0,173.0,1487,0.9939839572192514,0,0
40,train,A,6000,6000,1.0,82.72133333333333,74.0,171.0,5825,0.9708333333333333,0,0
40,train,B,6000,6000,1.0,76.97383333333333,66.0,169.0,5607,0.9345,0,0
40,train,C,6000,6000,1.0,79.13916666666667,70.0,169.0,5680,0.9466666666666667,0,0
40,val,A,1496,1496,1.0,87.56149732620321,81.0,175.0,1486,0.9933155080213903,0,0
40,val,B,1496,1496,1.0,86.6283422459893,79.0,172.0,1489,0.9953208556149733,0,0
40,val,C,1496,1496,1.0,88.30080213903743,81.5,177.0,1489,0.9953208556149733,0,0
41,train,A,6000,6000,1.0,83.37066666666666,76.0,171.0,5852,0.9753333333333334,0,0
41,train,B,6000,6000,1.0,78.54783333333333,69.0,171.0,5616,0.936,0,0
41,train,C,6000,6000,1.0,81.122,72.0,171.0,5753,0.9588333333333333,0,0
41,val,A,1496,1496,1.0,85.10494652406418,78.0,173.0,1490,0.9959893048128342,0,0
41,val,B,1496,1496,1.0,88.96858288770053,84.0,174.0,1488,0.9946524064171123,0,0
41,val,C,1496,1496,1.0,87.15775401069519,81.0,173.0,1486,0.9933155080213903,0,0
42,train,A,6000,6000,1.0,82.2775,73.0,172.0,5867,0.9778333333333333,0,0
42,train,B,6000,6000,1.0,77.015,65.0,169.0,5620,0.9366666666666666,0,0
42,train,C,6000,6000,1.0,80.04983333333334,70.0,170.0,5738,0.9563333333333334,0,0
42,val,A,1496,1496,1.0,84.6524064171123,76.0,171.0,1488,0.9946524064171123,0,0
42,val,B,1496,1496,1.0,88.88235294117646,85.0,173.0,1488,0.9946524064171123,0,0
42,val,C,1496,1496,1.0,86.57687165775401,79.0,174.0,1487,0.9939839572192514,0,0
43,train,A,6000,6000,1.0,83.04533333333333,76.0,171.0,5847,0.9745,0,0
43,train,B,6000,6000,1.0,78.42316666666666,68.0,172.0,5623,0.9371666666666667,0,0
43,train,C,6000,6000,1.0,79.208,71.0,168.0,5719,0.9531666666666667,0,0
43,val,A,1496,1496,1.0,85.82687165775401,76.0,175.0,1489,0.9953208556149733,0,0
43,val,B,1496,1496,1.0,87.96858288770053,82.0,174.0,1488,0.9946524064171123,0,0
43,val,C,1496,1496,1.0,89.18983957219251,84.0,174.0,1488,0.9946524064171123,0,0
44,train,A,6000,6000,1.0,83.02316666666667,74.0,172.0,5825,0.9708333333333333,0,0
44,train,B,6000,6000,1.0,79.03733333333334,69.0,170.0,5661,0.9435,0,0
44,train,C,6000,6000,1.0,79.24716666666667,71.0,169.0,5709,0.9515,0,0
44,val,A,1496,1496,1.0,83.66510695187166,77.0,172.0,1485,0.9926470588235294,0,0
44,val,B,1496,1496,1.0,88.43516042780749,81.5,176.0,1490,0.9959893048128342,0,0
44,val,C,1496,1496,1.0,86.25735294117646,78.0,175.0,1492,0.9973262032085561,0,0
45,train,A,6000,6000,1.0,83.3895,75.0,172.0,5867,0.9778333333333333,0,0
45,train,B,6000,6000,1.0,78.82583333333334,68.0,172.0,5577,0.9295,0,0
45,train,C,6000,6000,1.0,79.481,71.0,168.0,5738,0.9563333333333334,0,0
45,val,A,1496,1496,1.0,85.46991978609626,78.0,173.0,1484,0.9919786096256684,0,0
45,val,B,1496,1496,1.0,88.14104278074866,82.0,173.0,1489,0.9953208556149733,0,0
45,val,C,1496,1496,1.0,90.84224598930481,87.0,175.0,1488,0.9946524064171123,0,0
46,train,A,6000,6000,1.0,83.14766666666667,75.0,172.0,5844,0.974,0,0
46,train,B,6000,6000,1.0,77.5045,67.0,170.0,5610,0.935,0,0
46,train,C,6000,6000,1.0,80.1095,71.0,172.0,5725,0.9541666666666667,0,0
46,val,A,1496,1496,1.0,87.41042780748663,81.0,177.0,1489,0.9953208556149733,0,0
46,val,B,1496,1496,1.0,86.70521390374331,81.0,169.0,1489,0.9953208556149733,0,0
46,val,C,1496,1496,1.0,88.66243315508021,83.0,170.0,1486,0.9933155080213903,0,0
47,train,A,6000,6000,1.0,82.52466666666666,74.0,172.0,5830,0.9716666666666667,0,0
47,train,B,6000,6000,1.0,77.3185,67.0,171.0,5615,0.9358333333333333,0,0
47,train,C,6000,6000,1.0,78.1975,68.0,168.0,5716,0.9526666666666667,0,0
