sequence,target,view,auc,precision,normalized_precision,mean_iou,frame_count
md3011-2,md3011,B,0.2106060606060606,0.2806818181818182,0.44886363636363635,0.2574805892497095,880
md3012-2,md3012,B,0.8881300196041233,1.0,1.0,0.9078610990585271,753
md3014-2,md3014,B,0.7282853055385244,1.0,0.8540772532188842,0.7392044687599346,932
md3015-2,md3015,B,0.744336569579288,1.0,1.0,0.757292528940977,1133
md3021-2,md3021,B,0.5955105154189821,0.8810068649885584,0.88558352402746,0.6668035731266824,874
md3022-2,md3022,B,0.7990904226859282,1.0,0.9921348314606742,0.8148972695246829,890
md3023-2,md3023,B,0.7386150966936993,1.0,0.9759825327510917,0.7487188809211088,916
md3024-2,md3024,B,0.8395083003044402,1.0,1.0,0.8558822169747868,829
md3025-2,md3025,B,0.8598095238095237,1.0,1.0,0.8803103343987654,250
md3028-2,md3028,B,0.7169968079058988,1.0,0.9292929292929293,0.7270164997031646,1089
md3029-2,md3029,B,0.8900908911282356,1.0,1.0,0.909570470435668,964
md3033-2,md3033,B,0.5537443193044853,0.7033195020746889,0.9273858921161826,0.756620334758855,482
md3037-2,md3037,B,0.304310712761417,0.43405889884763127,0.44302176696542894,0.31284164107789436,781
md3039-2,md3039,B,0.2157001414427157,0.27722772277227725,0.46864686468646866,0.27155261011731174,606
md3041-2,md3041,B,0.028090731560763107,0.0473186119873817,0.637223974763407,0.07245233150805676,317
md3042-2,md3042,B,0.01804511278195489,0.02280701754385965,0.7105263157894737,0.059131885268436865,570
md3043-2,md3043,B,0.4820845820845821,1.0,0.3503496503496504,0.4819609703855762,1430
md3045-2,md3045,B,0.05518119197364481,0.07389937106918239,0.06289308176100629,0.056146257057070534,636
md3046-2,md3046,B,0.7466370729082593,1.0,0.9774011299435028,0.7586844689939034,708
md3047-2,md3047,B,0.2256813112210261,0.14663951120162932,0.2769857433808554,0.22639800592536227,491
md3049-2,md3049,B,0.08483975897189781,0.10638297872340426,0.1019036954087346,0.08670381852429028,893
md3052-2,md3052,B,0.3717091689362053,0.5909878682842288,0.6689774696707106,0.5003997426670631,577
md3053-2,md3053,B,0.5788131041890441,0.9906015037593985,0.37875939849624063,0.5901903235274104,1064
md3056-2,md3056,B,0.7846917908267602,1.0,0.9828220858895705,0.7989103407386278,815
md3057-2,md3057,B,0.2455908289241623,0.3962962962962963,0.6240740740740741,0.338955404710168,540
md3061-2,md3061,B,0.5747382640999662,1.0,0.873758865248227,0.5798592501965323,705
md3063-2,md3063,B,0.7581128747795414,0.9259259259259259,0.9629629629629629,0.8239417290955243,540
md3001-3,md3001,C,0.24472419874718723,0.41890166028097064,0.4118773946360153,0.31293972394086966,1566
md3002-3,md3002,C,0.222636815920398,0.2555970149253731,0.835820895522388,0.5426851443348005,536
md3003-3,md3003,C,0.0,0.0,1.0,nan,400
md3004-3,md3004,C,0.5209812409812409,0.6654545454545454,0.9987878787878788,0.7966854901552651,825
md3006-3,md3006,C,0.09549365363318853,0.11270125223613596,0.5313059033989267,0.16672445898673333,559
md3007-3,md3007,C,0.15306804084359196,0.19939879759519039,0.6743486973947895,0.3140039175396374,998
md3009-3,md3009,C,0.1587047619047619,0.212,0.4768,0.22424828029698743,1250
md3010-3,md3010,C,0.07108981804103755,0.08333333333333333,1.0,0.8721353998620298,984
md3011-3,md3011,C,0.026028138528138525,0.03409090909090909,0.5693181818181818,0.057163806651164224,880
md3012-3,md3012,C,0.8330487573515462,1.0,1.0,0.850479404804834,753
md3014-3,md3014,C,0.7723789086450031,1.0,0.9839055793991416,0.7870911271302741,932
md3015-3,md3015,C,0.7898121296179548,1.0,1.0,0.8043105375512677,1133
md3021-3,md3021,C,0.7381497221314154,1.0,0.9610983981693364,0.7503523615511335,874
md3022-3,md3022,C,0.8004280363830926,1.0,0.9955056179775281,0.8168336971760487,890
md3023-3,md3023,C,0.6683302141817427,1.0,0.9781659388646288,0.6768099050341391,916
md3024-3,md3024,C,0.8335343787696019,1.0,0.9879372738238842,0.8511041621083556,829
md3025-3,md3025,C,0.8020952380952382,1.0,0.992,0.8171830604772606,250
md3028-3,md3028,C,0.5918929555293191,0.8870523415977961,0.8071625344352618,0.5995156923805257,1089
md3029-3,md3029,C,0.8180201541197392,1.0,1.0,0.8351253325751997,964
md3033-3,md3033,C,0.8167358229598894,0.970954356846473,1.0,0.8583679447075998,482
md3037-3,md3037,C,0.8243399792695568,0.9526248399487837,1.0,0.8837955418891799,781
md3039-3,md3039,C,0.17350306459217352,0.20957095709570958,0.6501650165016502,0.31621744811758534,606
